No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
82,Bright Stuff Face Scrub,Emina,Kulit Kombinasi,Kusam,"Summer Plum, Niacinamide, Hydrated Silica",1,0,1,0,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Emina Bright Stuff Face Scrub.png
83,Bright Stuff Face Scrub,Emina,Kulit Berminyak,Kusam,"Summer Plum, Niacinamide, Hydrated Silica",1,0,1,0,1,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Emina Bright Stuff Face Scrub.png
84,Bright Stuff Face Scrub,Emina,Kulit Berjerawat,Kusam,"Summer Plum, Niacinamide, Hydrated Silica",1,0,1,0,1,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Emina Bright Stuff Face Scrub.png
85,Natura Pal Gel Cleanser,Emina,Kulit Normal,"Kulit kering, Dehidrasi, Sensitif","Natural Pea Extract, Triple Protection+",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Emina Natura Pal Gel Cleanser.png
86,Natura Pal Gel Cleanser,Emina,Kulit Kering,"Kulit kering, Dehidrasi, Sensitif","Natural Pea Extract, Triple Protection+",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Emina Natura Pal Gel Cleanser.png
87,Natura Pal Gel Cleanser,Emina,Kulit Sensitif,"Kulit kering, Dehidrasi, Sensitif","Natural Pea Extract, Triple Protection+",1,0,1,0,1,0,0,1,0,NO,C:\project\static\Images\Facial Wash\Emina Natura Pal Gel Cleanser.png
88,Natura Pal Gel Cleanser,Emina,Kulit Berjerawat,"Kulit kering, Dehidrasi, Sensitif","Natural Pea Extract, Triple Protection+",1,0,1,0,1,0,0,1,0,NO,C:\project\static\Images\Facial Wash\Emina Natura Pal Gel Cleanser.png
89,Natura Pal Gel Cleanser,Emina,Kulit Kombinasi,"Kulit kering, Dehidrasi, Sensitif","Natural Pea Extract, Triple Protection+",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Emina Natura Pal Gel Cleanser.png
90,Natura Pal Gel Cleanser,Emina,Kulit Berminyak,"Kulit kering, Dehidrasi, Sensitif","Natural Pea Extract, Triple Protection+",1,0,1,0,1,0,0,1,0,NO,C:\project\static\Images\Facial Wash\Emina Natura Pal Gel Cleanser.png
91,Skin Buddy Dot Burst Face Wash,Emina,Kulit Normal,"Kulit kering, Dehidrasi, Sensitif, Iritasi ringan","Calendula, Hyaluronic Acid",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Emina Skin Buddy Dot Burst Face Wash.png
92,Skin Buddy Dot Burst Face Wash,Emina,Kulit Kering,"Kulit kering, Dehidrasi, Sensitif, Iritasi ringan","Calendula, Hyaluronic Acid",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Emina Skin Buddy Dot Burst Face Wash.png
